domain,category,liberal,conservative,total,liberal_share,p_value_greater
vaccine_get,personal_social_responsibility,172,121,293,0.5870307167235495,0.0047290539949729
vaccine_get,trust_science_government,226,235,461,0.49023861171366595,
vaccine_get,risk_weighing,335,207,542,0.6180811808118081,2.4090598858340147e-05
vaccine_get,fear_disease,230,120,350,0.6571428571428571,1.0408739549743897e-06
vaccine_not_get,distrust_government_pharma,114,217,331,0.34441087613293053,0.1600371217440792
vaccine_not_get,freedom_skepticism,89,201,290,0.30689655172413793,
vaccine_not_get,health_side_effects,169,253,422,0.4004739336492891,0.0053510223160047
mask_mandate_for,virus_transmission,241,164,405,0.5950617283950618,0.3955389792652808
mask_mandate_for,political_identity,222,157,379,0.5857519788918206,
mask_mandate_for,public_health,323,180,503,0.6421471172962226,0.0439721108751199
mask_mandate_for,government_responsibility,264,124,388,0.6804123711340206,0.0032603107916019
mask_mandate_against,efficacy_misconceptions,187,312,499,0.374749498997996,1.792604967810727e-05
mask_mandate_against,government_mandates,96,296,392,0.24489795918367346,
mask_mandate_against,individual_freedom,149,243,392,0.38010204081632654,2.215974921745818e-05
fear_virus_for,mortality_contagiousness,199,235,434,0.45852534562211983,0.0062479644593864
fear_virus_for,global_threat,137,232,369,0.3712737127371274,
fear_virus_for,scientific_consensus,146,172,318,0.4591194968553459,0.0098343115424957
fear_virus_for,government_distrust,179,207,386,0.4637305699481865,0.0050234925587483
fear_virus_for,personal_experience,253,214,467,0.5417558886509636,4.6405509877804925e-07
fear_virus_against,opinions_response,61,49,110,0.5545454545454546,0.1183918236594021
fear_virus_against,impacts_comparisons,78,84,162,0.48148148148148145,
fear_virus_against,low_perceived_threat,182,143,325,0.56,0.0508595529774543
fear_virus_against,threat_minimization,115,88,203,0.5665024630541872,0.0529692129302184
fear_virus_against,trust_science_government,136,60,196,0.6938775510204082,2.2585981039541817e-05
appendix_mask_mandate_for_alt1,public_health_economic,239,152,391,0.6112531969309463,0.2263505931771693
appendix_mask_mandate_for_alt1,political_identity,250,177,427,0.585480093676815,
appendix_mask_mandate_for_alt1,government_responsibility_rights,275,150,425,0.6470588235294118,0.0323001151917765
appendix_mask_mandate_for_alt1,pro_mask_perspectives,275,137,412,0.6674757281553398,0.0070732637945916
appendix_mask_mandate_against_alt,political_identity,142,284,426,0.3333333333333333,0.1132694904082686
appendix_mask_mandate_against_alt,government_overreach_freedom,111,267,378,0.29365079365079366,
appendix_mask_mandate_against_alt,concerns_mask_mandates,180,300,480,0.375,0.006231341704408
appendix_mask_mandate_for_alt2,government_responsibility_rights,251,157,408,0.6151960784313726,0.083113352234159
appendix_mask_mandate_for_alt2,political_perspectives,253,192,445,0.5685393258426966,
appendix_mask_mandate_for_alt2,pro_mask_public_safety,237,131,368,0.6440217391304348,0.0142892813435066
appendix_mask_mandate_for_alt2,science_effectiveness,286,127,413,0.6924939467312349,8.7085296038173e-05
